Section,Key,English,German (to review/update)
Bob Conversation,bob.32,Courage isn't the absence of fear. It's reaching out when you're terrified. You did that today.,"Mut ist nicht die Abwesenheit von Angst. Es ist, die Hand auszustrecken, wenn man verängstigt ist. Das hast du heute getan."
Bob Conversation,bob.33,I never thought of it that way.,So habe ich das noch nie gesehen.
Bob Conversation,bob.34,One day at a time. Sometimes one hour at a time. That's how we do this.,Ein Tag nach dem anderen. Manchmal eine Stunde nach der anderen. So machen wir das.
Bob Conversation,bob.35,"Thank you, Bob. Really.","Danke, Bob. Wirklich."
Bob Conversation,bob.36,I'm here whenever you need me. Day or night. That's what Forward Together is about.,"Ich bin hier, wann immer du mich brauchst. Tag oder Nacht. Darum geht es bei Forward Together."
Bob Conversation,bob.37,You're not alone in this. Not anymore.,Du bist damit nicht mehr allein.
Miri Conversation,miri.1,Hi. I'm Miri.,Hallo. Ich bin Miri.
Miri Conversation,miri.2,I see you too.,Ich sehe auch dich.
Miri Conversation,miri.3,How are you holding up?,Wie hältst du dich?
Miri Conversation,miri.4,Honestly I don't even know. My husband was diagnosed with lymphoma three weeks ago.,"Ehrlich gesagt, ich weiß es nicht mal. Mein Mann hat vor drei Wochen die Diagnose Lymphom bekommen."
Miri Conversation,miri.5,Three weeks. You're still in the thick of it. I'm glad you reached out.,"Drei Wochen. Du steckst noch mittendrin. Ich bin froh, dass du dich gemeldet hast."
Miri Conversation,miri.6,Can I ask - how are YOU doing? Not him. You.,Darf ich fragen – wie geht es DIR? Nicht ihm. Dir.
Miri Conversation,miri.7,Nobody asks me that. Everyone asks about Tom.,Niemand fragt mich das. Alle fragen nach Thomas.
Miri Conversation,miri.8,I know. That's why I'm asking. Your feelings matter too.,Ich weiß. Deshalb frage ich. Auch deine Gefühle zählen.
Miri Conversation,miri.9,I feel guilty even talking about myself. He's the one who's sick.,"Ich fühle mich schuldig, überhaupt über mich zu sprechen. Er ist derjenige, der krank ist."
Miri Conversation,miri.10,There's no guilt needed here. Caring for someone takes everything you have. Your struggles are real.,"Hier gibt es keine Schuld. Für jemanden zu sorgen, erfordert alles, was du hast. Deine Kämpfe sind real."
Miri Conversation,miri.11,I'm exhausted. I haven't slept properly in weeks. I'm trying to be strong for him and the kids.,"Ich bin erschöpft. Ich habe seit Wochen nicht richtig geschlafen. Ich versuche, stark zu sein für ihn und die Kinder."
Miri Conversation,miri.12,That's such a heavy weight to carry. Being strong for everyone while processing your own fear.,"Das ist eine so schwere Last. Stark sein für alle, während du deine eigene Angst verarbeitest."
Miri Conversation,miri.13,Sometimes I feel so angry. And then I feel awful for being angry.,"Manchmal bin ich so wütend. Und dann fühle ich mich schrecklich, weil ich wütend bin."
Miri Conversation,miri.14,Anger is a normal part of this. It doesn't make you a bad person or a bad caregiver.,Wut ist ein normaler Teil davon. Es macht dich nicht zu einem schlechten Menschen oder einer schlechten Pflegeperson.
Miri Conversation,miri.15,You're allowed to feel angry at the situation. At cancer. At the unfairness of it all.,Du darfst wütend sein auf die Situation. Auf den Krebs. Auf die Ungerechtigkeit von allem.
Miri Conversation,miri.16,I just want our normal life back.,Ich will einfach nur unser normales Leben zurück.
Miri Conversation,miri.17,"Of course you do. Grieving the life you had is part of this journey too.","Natürlich willst du das. Um das Leben zu trauern, das ihr hattet, ist auch Teil dieser Reise."
Miri Conversation,miri.18,"I feel like I'm failing at everything. The house is a mess, I forgot my daughter's permission slip...","Ich habe das Gefühl, dass ich bei allem versage. Das Haus ist ein Chaos, ich habe die Erlaubnis für meine Tochter vergessen..."
Miri Conversation,miri.19,You're not failing. You're surviving an impossible situation. Something has to give.,Du versagst nicht. Du überlebst eine unmögliche Situation. Irgendetwas muss nachgeben.
Miri Conversation,miri.20,A messy house doesn't mean you're failing. It means you're prioritizing what matters most.,"Ein unordentliches Haus bedeutet nicht, dass du versagst. Es bedeutet, dass du priorisierst, was am wichtigsten ist."
Miri Conversation,miri.21,I keep thinking I should be handling this better.,"Ich denke immer, ich sollte das besser hinbekommen."
Miri Conversation,miri.22,"There's no 'right way' to handle this. You're doing it, and that's what counts.","Es gibt keinen ""richtigen Weg"", damit umzugehen. Du machst es, und das ist, was zählt."
Miri Conversation,miri.23,My mom keeps offering to help but I feel like I should be able to do this myself.,"Meine Mutter bietet ständig an zu helfen, aber ich habe das Gefühl, ich sollte das alleine schaffen."
Miri Conversation,miri.24,Accepting help isn't weakness. It's wisdom. You can't pour from an empty cup.,Hilfe anzunehmen ist keine Schwäche. Es ist Weisheit. Du kannst nicht aus einem leeren Becher einschenken.
Miri Conversation,miri.25,What if letting your mom help is actually a gift to her too? A way she can feel useful?,"Was, wenn es auch ein Geschenk für deine Mutter ist, wenn du sie helfen lässt? Eine Möglichkeit für sie, sich nützlich zu fühlen?"
Miri Conversation,miri.26,I never thought of it that way.,So habe ich das noch nie gesehen.
Miri Conversation,miri.27,Caregivers often forget they deserve care too. When's the last time you did something just for you?,"Pflegende vergessen oft, dass auch sie Fürsorge verdienen. Wann hast du zuletzt etwas nur für dich getan?"
Miri Conversation,miri.28,I can't even remember. There's no time.,Ich kann mich nicht mal erinnern. Es gibt keine Zeit.
Miri Conversation,miri.29,Even ten minutes matters. A cup of tea alone. A short walk. Small things add up.,Selbst zehn Minuten zählen. Eine Tasse Tee allein. Ein kurzer Spaziergang. Kleine Dinge summieren sich.
Miri Conversation,miri.30,I feel selfish even thinking about myself.,"Ich fühle mich egoistisch, auch nur an mich zu denken."
Miri Conversation,miri.31,Taking care of yourself isn't selfish. It's necessary. You can't support Tom if you collapse.,"Auf dich selbst zu achten ist nicht egoistisch. Es ist notwendig. Du kannst Thomas nicht unterstützen, wenn du zusammenbrichst."
Miri Conversation,miri.32,That's what my sister says too.,Das sagt meine Schwester auch.
Miri Conversation,miri.33,She's right. Would you like to connect with other caregivers who understand this?,"Sie hat recht. Möchtest du dich mit anderen Pflegenden verbinden, die das verstehen?"
Miri Conversation,miri.34,There are others going through this?,"Es gibt andere, die das durchmachen?"
Miri Conversation,miri.35,"Many others. Caregivers who know exactly what 3am anxiety feels like. Who understand the isolation.","Viele andere. Pflegende, die genau wissen, wie sich die Angst um 3 Uhr nachts anfühlt. Die die Isolation verstehen."
Miri Conversation,miri.36,Sometimes talking to someone who's been there makes all the difference.,"Manchmal macht es den ganzen Unterschied, mit jemandem zu sprechen, der es erlebt hat."
Miri Conversation,miri.37,"Yes, I think I'd like that. It would help to not feel so alone in this.","Ja, ich glaube, das würde ich gerne. Es würde helfen, mich dabei nicht so allein zu fühlen."
Miri Conversation,miri.38,You're not alone. There's a whole community here who sees what you're carrying.,"Du bist nicht allein. Hier ist eine ganze Gemeinschaft, die sieht, was du trägst."
Miri Conversation,miri.39,"Thank you for asking about me, Miri. It means more than you know.","Danke, dass du nach mir gefragt hast, Miri. Das bedeutet mehr, als du weißt."
Miri Conversation,miri.40,"That's what I'm here for. You matter, not just as a caregiver, but as a person.","Dafür bin ich hier. Du zählst, nicht nur als Pflegende, sondern als Mensch."
Miri Conversation,miri.41,We're here whenever you need us. You don't have to carry this alone.,"Wir sind hier, wann immer du uns brauchst. Du musst das nicht alleine tragen."
